"","principal_eigenvalue","asymmetry","peakedness","eigengap.modalities","Summary_tree","Model"
"235",9083.84913663258,0.26916851127952,4.14105508061917,1,"MCC","Population Null"
"236",1775.78300328013,1.00753209941011,2.54695987270942,128,"MRC","Population Null"
"237",9171.27034838135,-0.0288415177884563,2.02299759338866,1,"MCC","Null"
"238",6637.72698485087,-0.19150542749038,1.94929659214737,456,"MRC","Null"
"239",9084.60057142398,0.269325385629151,4.14213702240791,406,"MCC","Population Null"
"240",1776.19489281101,1.00729228928276,2.5466530870431,128,"MRC","Population Null"
"241",9098.54354695799,-0.0283361193208228,2.02578997253821,1,"MCC","Null"
"242",6569.69417892365,-0.20356870455667,1.96683519140487,1,"MRC","Null"
"243",9082.3080913377,0.270192112213198,4.13871544829327,406,"MCC","Population Null"
"244",1779.13640946584,1.01037631505363,2.54261740608391,128,"MRC","Population Null"
"245",9151.26869435727,-0.0280853302753523,2.01549089019229,1,"MCC","Null"
"246",6603.11528341834,-0.192213796378881,1.93117379690803,1,"MRC","Null"
"247",9086.65143966905,0.270505422171756,4.15600339744095,1,"MCC","Population Null"
"248",1776.58860069123,1.00757549470854,2.54571441644125,128,"MRC","Population Null"
"249",9137.07596846713,-0.0275262272362757,2.04746045549069,1,"MCC","Null"
"250",6647.77073987775,-0.196070946366846,1.94834881171176,1,"MRC","Null"
"251",9084.74599313521,0.269893764900435,4.15973134112265,1,"MCC","Population Null"
"252",1778.76050584886,1.01038179043066,2.54230858613912,128,"MRC","Population Null"
"253",8947.99154423903,-0.0331155150988364,2.04621313524142,457,"MCC","Null"
"254",6651.1439340218,-0.188401217991276,1.94969490560858,2,"MRC","Null"
"255",9081.42411020537,0.270025966323029,4.15605026807217,1,"MCC","Population Null"
"256",1774.13699686999,1.0070498303322,2.54563812113574,128,"MRC","Population Null"
"257",9008.3331883706,-0.0305299810026975,2.02846438113513,457,"MCC","Null"
"258",6618.3486666571,-0.196396249130666,1.95405708028126,1,"MRC","Null"
"259",9080.69738604619,0.268959713383279,4.14420556173428,1,"MCC","Population Null"
"260",1775.49313398431,1.00721796932833,2.54557114449605,128,"MRC","Population Null"
"261",9106.03073090617,-0.0304343200099217,2.04010863017247,1,"MCC","Null"
"262",6647.74671400432,-0.191751927912425,1.93472359874253,456,"MRC","Null"
"263",9084.03939414123,0.269984213116085,4.14258675290673,1,"MCC","Population Null"
"264",1775.56271599558,1.01030270509442,2.54101725285014,128,"MRC","Population Null"
"265",9090.59726433785,-0.0300376983257316,2.031243406086,1,"MCC","Null"
"266",6675.95657728934,-0.182835079723963,1.92592680658948,2,"MRC","Null"
